Province,Name,Lat,Lon,Dro,Prec,Flood
Greater Beijing,Beijing,39.9,116.4,,,
Greater Beijing,Miyun,40.39,116.84,,,
Greater Beijing,Pinggu,40.13,117.11,,,
Greater Beijing,Tong (now Tongzhou district in Beijing),39.9,116.7,,,
Greater Beijing,Shunyi,40.12,116.71,,,
Greater Tianjin,Ji,40,117.4,,,1
Greater Tianjin,Jinghai,38.9,117,,,
Greater Tianjin,Wuqing,39.45,117.04,,,
Greater Tianjin,Ninghe,39.3,117.85,,,
Hebei Province,Huai'an,40.65,114.4,,,
Hebei Province,Qian'an,40,118.7,,,
Hebei Province,Changli,39.7,119.5,,,
Hebei Province,Lulong,39.9,118.9,,,
Hebei Province,Luan,39.75,118.7,,,
Hebei Province,Dacheng,38.7,116.6,,,
Hebei Province,Wen'an,38.8,116.45,,,1
Hebei Province,Li,38.5,115.55,,,
Hebei Province,Dongguang,37.9,116.5,,,
Hebei Province,Qing,38.6,116.8,,,
Hebei Province,Renqiu,38.7,116.09,,,
Hebei Province,Cheng'an,36.45,114.7,,,
Hebei Province,Ren,37.11,114.67,,,
Shanxi Province,Datong,40.1,113.3,,,
Shanxi Province,Tianzhen,40.44,114.09,,,
Shanxi Province,Guangling,39.76,114.28,,,
Shanxi Province,Hunyuan,39.69,113.7,,,
Shanxi Province,Guan (now Dujiangyan City),30.98,103.68,,,
Shanxi Province,Xinzhou,38.41,112.74,,,
Shanxi Province,Hequxian (aka Hequ Cty),39.44,111.19,,,
Shanxi Province,Fenxi,36.652,111.56,,,
Shanxi Province,Dingxiang,38.49,112.97,,,
Shanxi Province,Fanshi,39.18,113.27,,,
Shanxi Province,Jiexiu,37,111.9,,,
Shanxi Province,Yuanping,38.73,112.71,,,
Shanxi Province,Pianguan,39.43,111.55,,,
Shanxi Province,Fenyang,37.27,111.8,,1,1
Shanxi Province,Xiaoyi,37.15,111.78,,,
Shanxi Province,Gu,36.27,111.9,,1,
Shanxi Province,Jiaocheng,37.58,112.18,,,
Shanxi Province,Anze,36.15,112.3,,1,
Shanxi Province,Yonghe,36.76,110.65,,,
Shanxi Province,Gaoping,35.79,112.93,,,
Shanxi Province,Wanrong,35.42,110.85,,,
Shanxi Province,Yangcheng,35.48,112.44,,,
Shanxi Province,Qinshui,35.69,112.21,,,
Shanxi Province,Lin,36.33,112.6,,,
Shanxi Province,Yicheng,35.73,111.74,,,
Shanxi Province,Quwo,35.64,111.48,,,
Shanxi Province,Jixian (aka Ji Cty),36.11,110.74,,,
Shanxi Province,Huoxian (aka Huo Cty),36.56,111.76,,,
Shanxi Province,Fushan,35.968,111.86,,,
Shanxi Province,Hongtong,36.25,111.67,,,
Shanxi Province,Xiangfen,35.88,111.44,,,
Jilin Provence,Yongji,43.68,126.54,,,
Heilongjiang Province,Ning'an,44.34,129.49,,,
Shaanxi Province,Xi'an,34.37,108.9,,,
Shaanxi Province,Dayan,45.83,128.83,,,
Shaanxi Province,Zhouzhi,34.16,108.24,,,
Shaanxi Province,Tongguan,34.54,110.26,,,
Shaanxi Province,Xianyang,34.32,108.71,,,
Shaanxi Province,Chang'an,34.1,108.9,,,1
Shaanxi Province,Fuping,34.7,109.15,,,
Shaanxi Province,Xunyi,35.11,108.34,,,
Shaanxi Province,Dali,34.8,109.9,,,
Shaanxi Province,Dajing (not yet found),,,,,
Shaanxi Province,Hua,34.5,109.8,1,,
Shaanxi Province,Hua'yin,34.57,110.09,,,
Shaanxi Province,Pucheng,34.95,109.59,,,
Shaanxi Province,Yulin,38.3,109.7,,,
Shaanxi Province,Shenmu,38.8,110.5,,,
Shaanxi Province,Qingjian,37.1,110.1,,,
Shaanxi Province,Yan'an,36.59,107.47,,,
Shaanxi Province,Zichang,37.15,109.7,,,
Shaanxi Province,Yanchuan,36.9,110.2,,,
Shaanxi Province,Huangling,35.6,109.3,,,
Shaanxi Province,Ankang,32.69,109.03,,,
Shaanxi Province,Hanyin,32.9,108.5,,,
Shaanxi Province,Xunyang,32.8,109.38,,,
Shaanxi Province,Xingping,34.29,108.49,,,
Shaanxi Province,Dali,34.79,109.95,,,
Shaanxi Province,Qishan,34.48,107.61,,,
Shaanxi Province,Yuyang,38.27,109.7,,,
Shaanxi Province,Xixiang,32.98,107.79,,,
Shaanxi Province,Luochuan,35.76,109.43,,,
Shaanxi Province,Liquan,34.51,108.47,,,
Shaanxi Province,Gan (aka Ganxian),34.547,108.25,,,
Shaanxi Province,Yongshou,34.69,108.14,,,
Shaanxi Province,Dacheng,38.72,116.67,,,
Shaanxi Province,Chengcheng,35.21,109.95,,,
Shaanxi Province,Shangnan,33.53,110.86,,,
Shaanxi Province,Mianxian(aka Mian Cty),33.15,106.67,,,
Shaanxi Province,Suide,37.5,110.26,,,
Shaanxi Province,Qingjian,37.08,110.13,,,
Shaanxi Province,Zhenba,32.54,107.9,,,
Ning Xia,Pingluo,38.9,106.5,,,
Ning Xia,Zhongwei,37.5,105.2,,,
Ning Xia,Guyuan,36,106.31,,,
Shandong Province,Zhucheng,36,119.25,,,
Shandong Province,Ye,33.6,113.3,,,
Shandong Province,Longkou,37.65,120.45,,,
Shandong Province,Haiyang,36.8,121.8,,,
Shandong Province,Dongping,35.95,116.45,,,1
Shandong Province,Yanzhou,35.55,116.76,,,
Shandong Province,Teng,36.7,117.06,1,,
Shandong Province,Lingxian(aka Ling Cty),37.33,116.57,,,
Shandong Province,Zebo,36.81,118.07,,,
Shandong Province,Jining,35.42,116.58,,,1
Shandong Province,Jiaxiang,35.4,116.37,,,
Shandong Province,Muping,37.41,121.63,,,
Shandong Province,Jinxiang,35.1,116.35,,,1
Shandong Province,Qixia,37.32,120.94,,,
Shandong Province,Guan (Guanxian),36.49,115.46,,,
Shandong Province,Chiping,36.58,116.25,,,
Shandong Province,Yuncheng,35.63,115.94,,,
Shandong Province,Donghe,36.33,116.25,,,
Shandong Province,Shanxian (aka Shan Cty),34.77,116.11,,,
Shandong Province,Wenshang,35.73,116.51,,,
Shandong Province,Pingyin,36.28,116.47,,,
Shandong Province,Liaocheng,36.45,115.98,,,
Shandong Province,Linqing,36.83,115.72,,,
Shandong Province,Shenxian (Shen),36.23,115.68,,,
Shandong Province,Zhangqu,36.68,117.53,,,
Shandong Province,Jimo,36.38,120.49,,,
Shandong Province,Gaotang,36.86,116.24,,,
Shandong Province,Yanggu,36.11,115.8,,,
Shandong Province,Huimin,37.48,117.51,,,
Shandong Province,Yangxin,37.64,117.59,,,
Shandong Province,Wudi,37.79,117.66,,,
Shandong Province,Bin (aka Binzhou),37.43,118.02,,,
Shandong Province,Lijin,37.49,118.29,,,
Shandong Province,Zhanhua,37.69,118.13,,,
Shandong Province,Zhouping (aka Zouping),36.86,117.77,,,
Shandong Province,Dong'e,36.33,116.26,,,
Shandong Province,Huaiyang,33.73,114.9,,,
Shandong Province,Linyi,37.22,116.92,,,
Shanghai City,Baoshan,31.4,121.49,,,
